PRODUCT_ID,CATEGORY
1,Category V
2,Category B
3,Category S
4,Category D
4,Category T
5,Category Q
6,Category A
6,Category Y
7,Category B
8,Category P
8,Category R
9,Category Q
9,Category X
10,Category Q
10,Category R
11,Category D
11,Category X
12,Category X
12,Category Y
13,Category V
14,Category B
15,Category X
16,Category S
16,Category T
17,Category M
18,Category O
19,Category S
20,Category L
21,Category P
21,Category U
22,Category L
23,Category E
23,Category Q
24,Category E
24,Category J
25,Category H
25,Category S
26,Category T
26,Category Z
27,Category C
27,Category E
28,Category T
29,Category M
30,Category K
30,Category R
31,Category B
31,Category Q
32,Category Y
33,Category B
34,Category A
35,Category T
36,Category X
37,Category G
37,Category V
38,Category R
39,Category U
40,Category L
40,Category U
41,Category M
42,Category E
42,Category T
43,Category R
43,Category T
44,Category J
45,Category N
46,Category R
46,Category T
47,Category Q
48,Category L
49,Category A
49,Category N
50,Category Q
51,Category K
52,Category D
52,Category I
53,Category I
53,Category Y
54,Category A
54,Category N
55,Category D
55,Category Q
56,Category P
56,Category R
57,Category L
57,Category O
58,Category F
59,Category X
60,Category B
61,Category F
61,Category G
62,Category I
63,Category D
64,Category W
64,Category Z
65,Category O
66,Category L
66,Category Z
67,Category R
67,Category Z
68,Category I
68,Category R
69,Category S
70,Category M
70,Category N
71,Category R
71,Category U
72,Category N
73,Category Y
74,Category B
74,Category Y
75,Category C
75,Category G
76,Category W
77,Category F
78,Category E
78,Category G
79,Category A
80,Category N
80,Category Y
81,Category Z
82,Category M
83,Category A
83,Category W
84,Category L
85,Category E
85,Category Q
86,Category W
87,Category N
87,Category Y
88,Category U
89,Category L
90,Category O
91,Category C
91,Category U
92,Category L
92,Category W
93,Category B
93,Category Z
94,Category J
95,Category T
96,Category S
96,Category X
97,Category T
98,Category G
98,Category P
99,Category H
99,Category R
100,Category N
100,Category Q
101,Category H
102,Category A
102,Category K
103,Category P
104,Category E
105,Category W
106,Category D
106,Category P
107,Category D
107,Category H
108,Category A
109,Category S
110,Category C
110,Category E
111,Category A
111,Category H
112,Category Z
113,Category O
114,Category A
114,Category Q
115,Category B
116,Category S
117,Category J
118,Category G
118,Category T
119,Category E
120,Category K
121,Category J
121,Category O
122,Category A
122,Category I
123,Category E
124,Category H
124,Category Q
125,Category B
125,Category L
126,Category G
127,Category Z
128,Category O
128,Category Q
129,Category H
129,Category Z
130,Category T
131,Category R
132,Category J
133,Category E
133,Category L
134,Category R
134,Category Y
135,Category I
135,Category S
136,Category D
136,Category X
137,Category H
138,Category C
138,Category U
139,Category X
140,Category K
140,Category P
141,Category K
142,Category T
143,Category S
144,Category P
144,Category V
145,Category Z
146,Category H
146,Category R
147,Category M
148,Category A
149,Category P
150,Category P
150,Category T
151,Category Q
152,Category T
153,Category C
154,Category Z
155,Category T
156,Category D
156,Category H
157,Category O
158,Category O
159,Category Q
160,Category A
161,Category H
161,Category S
162,Category B
163,Category B
163,Category Y
164,Category F
164,Category M
165,Category N
166,Category G
166,Category P
167,Category P
168,Category P
168,Category T
169,Category U
170,Category G
170,Category T
171,Category I
172,Category H
172,Category U
173,Category E
174,Category A
175,Category T
176,Category H
176,Category Q
177,Category W
178,Category M
179,Category T
180,Category H
181,Category U
182,Category Q
183,Category R
183,Category T
184,Category I
184,Category R
